	F1D3Q.sam.counts	F1DFM.sam.counts	F1DNM.sam.counts	F1N1Q.sam.counts	F1N3Q.sam.counts	F1NFM.sam.counts	F1NNM.sam.counts	F2D3Q.sam.counts	F2DFM.sam.counts	F2DNM.sam.counts	F2N1Q.sam.counts	F2N3Q.sam.counts	F2NFM.sam.counts	F2NNM.sam.counts	F3DFM.sam.counts	F3DNM.sam.counts	F3N1Q.sam.counts	F3N3Q.sam.counts	F3NFM.sam.counts	F3NNM.sam.counts	
isogroup15175	4	11	7	13	28	11	15	1	1	11	6	31	5	15	2	24	1	10	3	4	
isogroup15177	1	8	1	1	2	10	7	1	1	3	4	2	3	2	1	2	3	1	0	1	
isogroup15179	1	4	2	3	0	2	1	0	3	2	0	1	5	1	0	0	2	0	0	4	
isogroup1518	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup15180	1	3	1	1	2	1	1	0	0	0	1	1	1	2	1	2	2	2	0	0	
isogroup15181	1	5	0	4	1	1	2	0	1	2	2	1	1	0	1	1	1	2	0	0	
isogroup15183	3	12	12	11	4	15	16	2	15	6	19	9	10	4	14	6	12	5	12	8	
isogroup15184	0	4	1	2	1	4	0	0	1	0	0	0	0	0	0	3	0	0	1	1	
isogroup15185	4	16	10	19	56	23	12	1	6	17	8	13	3	18	6	11	7	11	3	8	
isogroup15186	44	66	21	41	69	49	42	20	25	36	15	44	35	35	11	42	12	21	7	10	
isogroup15187	12	58	7	57	81	37	36	3	20	43	27	46	17	30	4	50	9	19	4	4	
isogroup15188	53	156	77	71	167	117	151	50	99	183	69	124	65	53	67	120	49	118	31	69	
isogroup15189	11	12	4	2	15	13	18	3	0	6	5	11	7	4	2	8	0	2	0	1	
isogroup1519	14	34	7	25	31	22	26	16	19	26	19	29	19	19	4	36	2	5	9	7	
isogroup15190	8	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	
isogroup15191	7	13	8	18	24	14	18	10	19	29	16	17	13	7	8	7	7	14	9	5	
isogroup15192	12	67	31	55	33	76	40	7	38	47	67	25	23	46	40	47	44	22	25	22	
isogroup15194	1	9	1	5	1	6	7	0	7	5	4	1	3	4	4	5	3	1	4	3	
isogroup15195	61	117	69	62	102	117	83	39	89	97	72	68	46	59	46	42	45	67	27	34	
isogroup15197	6	10	12	10	10	12	1	0	0	0	1	2	0	6	8	6	5	12	4	6	
isogroup15198	0	46	1	43	7	31	7	0	7	2	3	0	2	13	5	26	5	0	0	4	
isogroup15199	21	24	10	10	63	21	27	12	10	21	14	42	18	10	11	17	10	18	6	12	
isogroup152	5	2	1	2	6	4	4	1	0	3	3	2	3	1	0	0	1	1	2	3	
isogroup1520	55	54	28	23	82	55	43	10	20	24	13	29	10	39	16	29	24	26	10	31	
isogroup15201	1	1	3	1	1	5	4	0	1	4	6	2	3	2	2	1	6	2	4	5	
isogroup15203	5	69	21	58	14	38	34	5	57	32	55	9	28	31	27	30	39	7	28	26	
isogroup15204	52	53	15	37	64	49	46	21	20	38	27	41	32	29	22	27	25	20	11	19	
isogroup15205	8	20	13	10	2	21	23	12	17	18	14	12	21	9	15	13	11	5	20	11	
isogroup15206	0	2	1	1	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	
isogroup15207	3	6	3	9	6	5	12	1	4	9	3	7	9	4	3	3	4	6	4	10	
isogroup15208	24	24	11	7	19	28	23	9	7	13	11	22	12	9	5	21	6	9	9	14	
isogroup15209	0	1	0	2	1	2	2	0	1	2	2	0	0	1	0	0	2	0	1	0	
isogroup1521	2	2	1	2	0	0	2	0	2	0	2	0	4	0	1	0	3	1	4	1	
isogroup15210	9	12	10	7	8	24	10	22	23	26	10	37	12	5	7	8	3	16	8	7	
isogroup15211	82	103	42	57	120	92	96	39	64	83	37	111	38	63	29	49	19	48	19	28	
isogroup15212	4	7	13	1	3	1	0	0	0	3	1	9	1	1	0	1	0	59	3	15	
isogroup15213	45	106	10	73	142	105	20	10	16	17	12	31	17	25	9	94	5	10	1	8	
isogroup15214	41	71	22	26	33	45	29	24	27	39	24	38	28	15	21	20	11	16	11	9	
isogroup15215	0	6	1	4	3	12	3	0	9	8	7	1	4	4	1	3	4	1	1	0	
isogroup15217	32	52	23	25	38	35	43	18	24	49	35	49	15	23	8	29	7	35	10	42	
isogroup15218	8	11	2	7	16	15	8	5	10	9	9	3	4	4	4	9	3	2	8	5	
isogroup15219	1	0	0	0	0	0	1	1	0	2	1	1	2	0	1	2	0	0	0	0	
isogroup15220	15	53	35	58	66	43	83	19	55	91	78	61	51	63	56	48	58	44	44	47	
isogroup15221	0	1	0	4	1	2	1	2	3	0	7	1	0	1	4	0	3	5	1	4	
isogroup15223	0	0	1	2	0	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	
isogroup15224	1	8	1	6	3	9	2	0	3	3	22	2	5	4	3	3	5	0	9	9	
isogroup15225	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup15226	20	31	11	19	39	22	18	6	7	11	6	8	7	20	7	36	6	16	4	9	
isogroup15227	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup15228	117	54	38	73	173	92	82	60	45	24	41	75	42	77	36	40	53	73	40	36	
isogroup15229	0	4	1	0	0	0	1	0	5	4	1	0	0	3	2	1	3	0	1	1	
isogroup15230	4	6	10	2	7	4	8	1	1	7	4	4	3	6	2	9	1	3	0	4	
isogroup15231	3	3	0	0	2	1	6	1	5	7	3	1	0	1	1	4	0	1	0	1	
isogroup15232	0	6	2	3	9	5	2	1	6	3	10	1	2	1	2	4	2	1	4	0	
isogroup15233	28	40	10	26	52	30	25	20	22	29	35	31	39	18	15	25	19	11	14	6	
isogroup15234	8	11	18	4	7	11	19	18	17	12	12	22	25	7	13	7	12	25	16	10	
isogroup15235	6	8	1	3	21	13	6	1	1	5	7	3	4	8	1	8	0	2	0	3	
isogroup15236	53	44	22	34	44	41	28	8	25	21	21	27	9	28	18	49	11	17	13	16	
isogroup15237	1	5	3	2	17	4	5	1	5	7	10	12	14	2	6	1	9	18	5	11	
isogroup15238	28	51	33	21	33	30	48	16	39	32	31	22	26	28	23	22	23	11	11	21	
isogroup15239	24	40	17	27	75	39	34	29	27	19	29	32	25	30	18	12	27	18	15	19	
isogroup1524	35	56	14	27	55	24	53	19	28	40	23	24	21	22	23	17	11	30	16	14	
isogroup15241	56	93	25	53	111	78	74	49	37	54	41	94	55	64	8	56	19	30	10	11	
isogroup15242	2	9	0	5	2	8	1	1	1	2	0	0	0	0	1	1	0	2	1	0	
isogroup15243	22	7	4	1	4	4	6	1	2	1	2	5	2	1	1	3	1	1	0	0	
isogroup15245	3	1	1	1	2	0	2	0	2	0	1	0	1	2	0	0	0	0	0	0	
isogroup15246	10	71	14	33	42	39	66	15	37	54	46	27	15	24	12	48	15	9	14	10	
isogroup15249	45	98	35	55	117	60	95	36	40	63	45	78	57	54	36	74	29	52	18	46	
isogroup1525	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroup15250	45	34	18	15	44	34	62	41	25	62	19	60	40	22	17	27	13	24	16	21	
isogroup15251	0	2	0	1	0	3	0	0	1	1	0	0	0	1	0	0	0	0	0	0	
isogroup15252	1	2	1	1	1	0	2	2	1	0	0	0	0	1	0	1	5	0	0	0	
isogroup15253	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	
isogroup15254	36	29	13	16	53	30	28	16	25	30	16	32	22	20	26	19	8	25	10	10	
isogroup15255	71	207	68	146	267	163	144	55	97	105	77	185	78	71	21	137	22	37	13	60	
isogroup15256	6	4	3	1	3	8	1	4	4	4	7	7	8	1	2	0	2	4	2	0	
isogroup15257	38	44	15	20	24	44	32	16	14	33	15	26	9	18	4	34	8	4	4	3	
isogroup15258	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroup15259	2	10	2	2	4	7	11	5	13	10	8	10	5	3	8	6	3	3	1	1	
isogroup1526	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup15260	5	20	10	10	28	7	8	3	8	10	9	23	7	6	6	17	3	16	7	5	
isogroup15262	3	17	11	10	4	15	23	6	29	19	26	6	7	7	15	4	12	6	14	5	
isogroup15263	53	61	13	22	45	44	28	24	19	36	9	35	22	23	24	26	9	12	5	10	
isogroup15264	47	108	26	57	121	75	36	22	29	37	30	60	31	36	25	49	29	23	20	22	
isogroup15265	45	48	19	13	52	67	39	11	6	43	8	33	15	27	16	28	5	15	2	11	
isogroup15267	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	
isogroup15269	35	53	21	22	61	35	23	3	9	23	12	19	26	27	10	20	3	15	3	5	
isogroup1527	56	186	16	442	224	320	75	8	37	39	18	21	19	407	11	258	57	6	11	4	
isogroup15270	153	203	200	214	398	220	272	81	183	260	175	246	111	263	151	202	157	233	80	182	
isogroup15271	17	24	8	7	22	16	19	16	19	13	8	20	24	13	8	10	6	10	6	13	
isogroup15272	2	4	3	2	7	8	3	0	0	3	2	9	6	4	2	2	3	3	0	0	
isogroup15273	0	3	1	0	3	1	1	1	2	0	1	0	1	1	1	1	0	0	1	0	
isogroup15275	179	278	124	156	332	284	347	110	110	226	75	228	115	173	70	232	62	74	55	68	
isogroup15276	16	14	2	11	24	20	7	2	1	6	3	4	4	5	1	10	1	0	0	0	
isogroup15277	0	2	8	0	0	0	0	2	2	0	13	0	0	0	1	1	1	1	4	43	
isogroup15278	1	3	2	1	0	1	2	0	0	0	2	4	1	1	0	0	3	2	1	0	
isogroup15279	2	0	1	3	2	2	0	2	3	3	6	2	2	1	5	1	0	1	1	4	
isogroup1528	2	0	0	0	0	0	1	0	1	1	2	2	0	1	2	0	0	0	1	2	
isogroup15280	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
isogroup15281	316	466	190	267	419	481	289	98	210	329	125	391	152	304	95	326	71	131	70	78	
isogroup15282	64	97	31	39	107	66	43	37	45	53	36	48	42	29	27	49	17	34	23	26	
isogroup15285	24	21	12	12	34	21	20	14	16	16	12	24	7	14	14	21	9	8	6	8	
isogroup15286	22	40	7	21	75	32	37	13	27	33	28	53	13	30	10	24	6	6	7	6	
isogroup15287	27	35	29	29	101	36	35	3	19	20	106	44	11	26	6	41	0	9	3	102	
isogroup15288	22	37	16	23	48	44	37	18	26	30	26	25	19	20	14	27	15	19	5	6	
isogroup1529	0	1	1	1	0	2	1	0	0	0	0	0	0	0	0	0	1	3	3	4	
isogroup15291	12	16	8	7	49	12	23	10	5	20	7	16	5	18	9	16	5	11	10	11	
isogroup15292	4	33	15	31	12	26	7	7	23	12	19	4	13	5	20	14	27	11	25	12	
isogroup15293	54	775	128	550	113	719	247	95	668	343	695	154	261	184	399	409	425	65	605	69	
isogroup15294	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	
isogroup15295	9	89	77	49	13	77	78	16	94	52	69	28	28	57	53	58	43	22	27	42	
isogroup15297	50	51	24	27	70	44	40	22	30	25	24	49	29	23	27	33	15	44	17	18	
isogroup15298	43	25	21	18	22	32	17	22	12	15	18	17	15	14	20	14	13	24	9	5	
isogroup15299	0	0	1	0	0	1	1	0	0	0	0	2	1	0	0	1	0	0	0	1	
isogroup153	7	4	1	1	9	3	4	3	2	1	1	1	0	4	3	3	4	0	0	0	
isogroup1530	2	6	1	12	6	10	3	1	5	9	2	1	3	4	5	6	2	2	5	1	
isogroup15303	13	9	1	2	13	6	12	3	2	5	2	4	7	4	4	4	2	2	4	4	
isogroup15304	8	43	60	40	24	41	52	14	53	45	58	10	29	35	49	36	43	15	37	40	
isogroup15305	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroup15306	31	171	84	161	134	169	143	14	114	126	174	63	115	159	150	127	156	52	88	115	
isogroup15307	36	50	22	35	62	71	47	13	18	17	14	25	17	42	15	33	13	21	10	7	
isogroup15308	42	85	17	43	72	64	79	28	74	43	67	40	38	41	45	64	43	24	41	18	
isogroup15309	14	21	13	11	22	14	12	11	13	13	12	10	17	2	5	4	9	15	8	2	
isogroup1531	0	2	1	1	2	4	0	0	3	1	4	3	3	2	1	1	0	1	0	0	
isogroup15310	3	18	16	17	5	9	16	5	12	11	21	3	8	4	14	12	8	1	11	2	
isogroup15311	0	0	0	0	0	3	1	0	0	0	0	0	4	0	0	0	0	0	3	1	
isogroup15312	3	6	2	3	6	5	3	0	1	4	3	2	2	1	0	3	0	1	0	2	
isogroup15314	39	40	13	14	28	43	24	21	9	14	10	22	21	20	5	13	13	8	2	4	
isogroup15315	2	12	4	10	5	13	11	4	6	17	23	2	9	9	16	10	20	1	13	16	
isogroup15316	27	32	22	22	55	35	41	18	21	27	22	27	18	21	15	30	13	23	6	15	
isogroup15317	0	0	0	2	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	
isogroup15318	0	0	0	0	1	0	1	2	2	3	2	1	1	0	0	0	0	0	1	1	
isogroup15319	4	6	1	1	8	3	2	1	1	5	4	5	3	1	0	0	0	0	0	1	
isogroup1532	1	1	1	0	0	0	0	0	3	2	0	0	1	0	0	1	0	0	1	0	
isogroup15320	8	17	19	12	21	21	52	8	20	41	24	43	6	18	7	11	8	20	9	9	
isogroup15322	31	52	81	25	54	27	27	9	25	16	75	17	5	24	2	38	5	10	4	191	
isogroup15323	7	0	0	4	11	5	6	0	3	7	2	4	4	3	3	0	3	1	1	2	
isogroup15324	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroup15325	4	3	7	7	3	5	20	7	38	7	26	7	15	3	12	2	13	3	7	4	
isogroup15326	24	18	9	6	22	16	9	5	6	7	3	15	12	16	6	13	8	13	4	2	
isogroup15327	0	4	1	2	3	2	3	0	2	0	2	1	0	1	2	7	1	2	1	1	
isogroup15328	9	7	1	2	8	3	9	6	7	5	3	4	0	4	3	8	2	2	3	2	
isogroup15329	9	5	27	2	12	9	57	22	31	53	32	53	9	8	23	4	12	15	11	20	
isogroup1533	2	50	13	28	24	41	23	4	27	21	25	23	10	31	6	43	12	5	13	9	
isogroup15330	5	37	21	16	15	27	33	5	14	24	12	5	10	22	10	17	8	6	8	11	
isogroup15331	0	0	4	0	0	0	0	2	1	2	2	2	5	1	3	0	5	1	5	1	
isogroup15332	63	164	66	87	126	137	176	39	103	138	73	65	59	106	39	118	40	68	44	53	
isogroup15334	5	11	2	5	8	10	1	0	2	5	4	3	1	6	6	5	5	1	0	10	
isogroup15335	82	168	82	91	173	137	210	53	86	171	69	158	52	104	49	141	31	74	35	63	
isogroup15337	183	208	136	139	244	140	210	67	86	171	88	141	80	116	123	168	107	118	70	96	
isogroup15338	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
isogroup15339	53	105	34	57	129	52	82	33	76	86	72	71	58	60	30	63	44	68	33	44	
isogroup1534	0	5	0	1	1	3	0	2	1	1	1	0	0	1	1	1	1	0	1	0	
isogroup15340	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroup15342	0	0	0	0	0	0	2	0	2	4	1	1	0	1	0	0	0	0	0	0	
isogroup15344	160	323	111	168	292	254	274	114	155	216	140	240	124	148	95	153	49	103	56	116	
isogroup15345	0	0	0	0	0	0	10	8	2	8	4	5	5	1	0	0	0	0	0	0	
isogroup15346	19	54	21	27	33	34	47	15	29	33	36	33	29	20	25	37	28	25	24	33	
isogroup15347	2	1	0	1	3	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	
isogroup15348	14	19	11	13	22	16	10	4	4	6	7	8	5	14	2	12	4	5	4	5	
isogroup15349	0	0	26	0	2	0	0	0	1	0	61	0	0	0	0	0	0	4	0	97	
isogroup1535	2	4	0	1	2	2	4	2	7	5	10	2	5	2	4	0	2	3	2	8	
isogroup15350	5	6	0	2	9	3	5	3	6	2	1	4	2	1	1	0	3	3	2	0	
isogroup15351	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	2	0	0	0	0	
isogroup15352	2	39	38	32	6	31	20	2	15	10	45	4	9	40	29	19	18	2	8	34	
isogroup15353	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroup15355	0	2	0	2	7	3	1	0	0	0	0	0	0	0	0	1	0	0	0	1	
isogroup15358	0	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	3	
isogroup15359	8	14	5	7	15	11	10	9	12	14	7	7	8	5	7	4	6	12	5	3	
isogroup1536	7	21	15	11	32	16	21	6	11	15	4	20	10	15	3	9	3	6	2	5	
isogroup15360	120	283	69	141	312	237	173	104	109	126	103	234	133	117	53	155	31	71	32	71	
isogroup15361	2	0	3	0	0	0	2	0	0	1	2	3	1	1	1	0	2	3	2	0	
isogroup15364	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	
isogroup15367	0	0	2	1	0	1	0	0	0	0	6	0	1	0	0	0	0	0	1	9	
isogroup15369	31	25	3	9	12	18	15	12	7	6	5	10	8	6	8	8	3	6	4	3	
isogroup15370	3	15	5	7	4	10	7	8	25	9	21	9	20	5	9	8	8	6	22	11	
isogroup15371	7	36	7	14	47	23	22	2	7	15	7	32	13	19	4	20	4	17	0	9	
isogroup15372	26	31	12	12	35	25	12	5	8	8	8	15	7	15	8	18	6	16	7	5	
isogroup15373	6	3	1	2	6	4	4	3	3	2	4	6	3	4	5	3	6	8	6	4	
isogroup15374	6	6	1	0	4	2	2	1	0	5	1	2	1	0	1	1	0	1	1	0	
isogroup15375	47	46	18	19	54	25	27	18	23	15	7	17	21	10	9	18	10	19	2	6	
isogroup15376	0	1	2	1	0	4	1	0	4	1	6	0	4	1	0	0	2	1	0	1	
isogroup15377	9	22	15	8	15	17	22	14	18	22	7	23	27	10	13	6	11	17	13	9	
isogroup15378	5	6	4	3	12	7	5	4	3	9	10	14	4	3	1	6	6	7	0	3	
isogroup15379	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup1538	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	
isogroup15380	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup15383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup15384	6	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	2	0	0	
isogroup15385	0	0	0	0	0	0	0	0	1	1	7	0	0	0	0	0	0	0	0	4	
isogroup15386	39	95	24	59	92	87	81	24	57	84	56	83	36	60	22	67	17	32	9	31	
isogroup15387	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	
isogroup15388	57	81	18	34	51	67	72	53	68	98	59	118	71	36	20	48	11	17	26	5	
isogroup15389	0	0	2	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	4	
isogroup1539	0	19	11	13	3	10	9	8	18	13	27	3	21	5	19	7	23	3	36	5	
isogroup15390	4	14	4	4	20	6	6	1	1	11	1	19	1	7	0	6	0	2	4	1	
isogroup15392	1	6	0	7	0	8	3	0	5	0	7	1	0	2	2	3	3	1	0	0	
isogroup15393	3	16	1	11	19	31	5	6	7	6	10	17	9	3	8	10	7	3	12	3	
isogroup15394	0	3	0	1	5	1	4	1	2	0	5	1	0	0	3	1	4	5	0	2	
isogroup15395	8	10	3	2	18	13	7	2	3	6	6	16	8	3	3	8	1	7	3	2	
isogroup15396	0	0	4	0	0	0	0	0	0	1	4	0	4	1	0	0	1	1	0	0	
isogroup15397	2	2	0	0	0	0	0	0	0	3	0	4	0	0	0	1	0	54	5	12	
isogroup15399	46	93	26	58	67	74	69	65	87	70	65	82	69	47	36	43	36	44	33	32	
isogroup154	21	41	20	14	52	36	63	18	26	46	18	36	12	40	12	20	9	13	2	9	
isogroup1540	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup15400	25	11	7	8	30	14	18	3	8	4	3	14	9	12	8	7	4	5	4	3	
isogroup15402	21	17	5	6	13	12	11	14	7	15	9	20	12	3	0	5	0	0	1	6	
isogroup15404	1	2	1	1	2	3	1	0	2	2	5	0	3	3	2	2	4	1	4	2	
isogroup15405	853	1062	561	599	1195	983	880	357	362	596	357	681	324	743	346	760	278	371	215	270	
isogroup15406	0	5	2	2	1	5	2	0	3	2	2	2	0	2	6	1	4	2	0	0	
isogroup15407	1	3	2	3	13	5	3	1	1	9	3	6	4	4	7	4	5	3	6	5	
isogroup1541	1	26	11	27	4	32	36	2	35	21	24	5	9	23	9	12	7	1	4	3	
isogroup15410	6	4	1	2	4	4	8	3	0	9	3	10	6	2	0	5	1	3	0	2	
isogroup15411	0	0	1	5	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	
isogroup15412	0	7	4	4	3	13	6	2	4	5	3	2	0	5	2	10	4	2	3	1	
isogroup15413	2	1	3	0	1	2	2	0	2	2	6	0	0	0	2	1	2	1	0	3	
isogroup15414	12	19	3	3	22	17	9	5	6	3	5	11	3	8	3	13	4	5	0	4	
isogroup15415	3	9	0	8	18	7	1	0	1	0	0	5	0	8	0	8	0	0	0	1	
isogroup15417	91	164	73	70	145	100	92	60	78	84	71	96	77	77	62	82	60	59	25	42	
isogroup15418	5	25	24	23	45	15	27	4	24	18	50	5	20	13	47	14	36	24	24	56	
isogroup1542	65	49	15	25	59	37	67	26	24	56	29	58	54	26	11	34	10	15	16	12	
isogroup15420	3	4	1	3	1	3	4	0	1	1	2	6	2	2	1	2	0	3	2	1	
isogroup15421	2	6	1	0	6	3	3	3	2	2	2	3	4	2	0	2	1	1	0	1	
isogroup15422	9	9	14	6	12	11	15	5	3	6	7	11	5	6	2	6	1	2	2	11	
isogroup15424	137	224	88	108	228	192	169	78	106	126	98	154	78	99	65	120	37	113	46	50	
isogroup15425	8	75	28	34	102	37	50	19	39	68	31	111	24	57	27	95	17	75	24	46	
isogroup15427	0	5	4	3	2	3	2	0	1	2	4	1	2	2	2	5	3	1	3	0	
isogroup15428	13	19	8	13	32	22	15	11	11	15	13	15	10	16	6	13	9	12	4	8	
isogroup15429	16	22	7	10	48	17	45	18	21	34	36	42	24	24	13	18	11	8	7	12	
isogroup15430	1	5	26	0	0	0	0	0	3	4	66	0	2	0	1	0	0	2	5	110	
isogroup15431	0	6	14	0	0	1	0	0	0	19	3	14	1	4	0	0	0	159	6	33	
isogroup15433	56	46	19	39	81	67	35	28	33	46	25	55	28	48	13	60	15	19	20	11	
isogroup15434	0	0	3	3	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	
isogroup15435	286	267	98	114	193	167	142	44	66	92	96	81	78	159	54	144	51	41	64	54	
isogroup15436	3	7	3	1	2	2	0	0	8	2	3	7	2	1	3	3	2	2	0	4	
isogroup15438	28	69	5	23	62	28	17	9	9	4	5	12	9	10	1	36	1	6	6	0	
isogroup15439	1	0	1	0	0	0	3	3	2	5	1	2	6	1	0	0	3	0	6	0	
isogroup1544	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup15440	1	1	3	2	5	4	0	1	4	1	3	1	1	2	2	0	1	4	6	2	
isogroup15441	1	2	1	0	0	2	1	0	0	0	0	1	1	0	2	1	0	0	1	3	
isogroup15442	2	1	7	3	3	2	1	5	10	4	16	1	11	3	7	2	5	2	11	4	
isogroup15443	0	3	0	1	2	1	0	1	1	2	1	2	2	1	3	1	1	3	0	0	
isogroup15445	2	52	18	1	0	2	0	1	14	34	3	0	0	0	10	33	1	1	0	6	
isogroup15446	99	75	19	42	87	69	82	57	45	60	30	75	49	66	10	71	11	16	11	14	
isogroup15447	20	37	17	11	35	33	48	8	18	16	17	29	18	19	12	10	11	24	7	17	
isogroup15448	11	25	78	7	25	20	14	8	23	14	56	15	14	9	5	13	7	23	10	166	
isogroup15449	15	27	4	12	17	11	5	7	8	8	9	9	6	8	1	18	7	4	2	6	
isogroup1545	5	15	7	1	11	8	4	0	1	0	1	0	0	7	1	10	1	1	0	1	
isogroup15451	14	9	9	6	16	8	8	5	5	5	25	5	8	4	7	9	1	6	2	30	
isogroup15452	0	0	2	0	0	1	1	0	2	0	1	1	0	0	3	0	0	5	0	1	
isogroup15453	4	4	1	1	3	1	2	4	5	3	6	1	0	0	1	4	3	1	6	1	
isogroup15454	6	2	6	1	2	3	0	4	0	0	4	3	5	1	2	2	5	2	0	15	
isogroup15455	31	43	8	25	30	28	16	21	14	17	11	23	21	14	9	14	9	8	6	9	
isogroup15457	5	1	1	0	2	1	2	3	7	7	2	6	7	2	2	0	0	1	1	0	
isogroup15458	50	53	34	39	74	38	76	34	36	63	28	65	30	48	22	48	13	30	7	24	
isogroup15460	25	31	15	11	33	12	27	10	11	11	9	30	3	9	5	13	6	17	4	8	
isogroup15461	1	1	0	1	2	5	2	1	1	0	1	1	0	0	0	1	1	0	0	0	
isogroup15462	1	5	2	4	1	6	1	0	4	2	3	2	1	2	0	3	2	0	0	0	
isogroup15463	32	23	14	19	52	28	45	17	28	32	21	35	22	28	18	21	14	34	11	19	
isogroup15464	23	103	32	80	40	84	87	20	56	126	100	33	33	77	63	165	40	25	33	19	
isogroup15465	1	5	2	4	2	0	0	0	1	1	0	2	0	1	0	2	0	0	0	0	
isogroup15466	26	28	19	14	19	34	10	10	12	5	19	2	7	13	17	8	6	4	2	3	
isogroup15468	10	54	26	15	23	18	24	7	16	42	14	8	10	18	10	38	11	13	5	17	
isogroup15469	1	0	1	0	0	1	2	0	2	4	4	0	2	1	0	1	0	1	1	2	
isogroup15470	0	3	0	2	0	1	1	0	2	0	1	0	3	1	1	0	0	0	3	1	
isogroup15472	51	72	21	44	84	48	54	40	23	47	22	78	25	41	16	51	11	24	9	14	
isogroup15474	12	58	8	49	24	57	16	8	32	20	18	16	7	28	11	38	8	10	8	4	
isogroup15475	32	149	69	123	259	112	107	38	87	115	58	234	69	93	36	132	34	133	21	47	
isogroup15477	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	
isogroup15478	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroup1548	10	13	6	6	17	14	11	0	2	1	1	2	2	5	5	4	1	3	2	2	
isogroup15481	0	2	2	0	2	0	2	0	2	1	0	0	0	1	3	0	2	2	2	0	
isogroup15483	0	2	0	0	0	0	2	0	0	0	2	0	1	1	1	0	1	0	0	1	
isogroup15486	10	15	5	10	3	6	4	4	3	3	2	4	2	5	4	6	3	3	2	2	
isogroup15487	2	19	8	10	19	12	4	2	9	7	5	19	12	5	1	14	4	10	9	3	
isogroup15488	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup15489	15	26	10	13	28	19	27	10	10	15	7	29	7	18	7	7	8	4	4	3	
isogroup1549	1	9	1	2	12	0	0	2	0	1	1	9	0	3	0	3	0	2	1	3	
isogroup15490	0	1	4	2	3	11	1	0	1	1	1	0	1	1	2	1	2	0	0	0	
isogroup15491	35	74	18	23	67	53	66	27	26	42	17	53	21	34	13	27	12	14	8	6	
isogroup15492	0	3	1	1	0	2	1	0	1	0	0	1	2	1	3	0	1	0	0	0	
isogroup15493	51	126	23	42	93	75	50	40	44	41	24	83	53	37	18	55	31	36	14	25	
isogroup15494	3	7	0	5	5	4	7	5	3	4	3	3	1	1	1	5	0	2	3	1	
isogroup15495	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup15496	5	14	11	2	21	11	39	25	37	32	19	48	40	8	15	7	30	42	17	10	
isogroup15497	14	19	4	3	13	22	12	2	2	6	4	9	11	4	1	3	5	4	1	4	
